Date,Name,Year,Letterboxd.URI,Rating,Rewatch,Review,Tags,Watched.Date
2019-11-16,Lady and the Tramp,2019,https://letterboxd.com/breellis21/film/lady-and-the-tramp-2019/,3,NA,"I relate more to Tramp


Lady and the Tramp was one of my favorite movies growing up. I’ma happy gal",NA,2019-11-15
2019-11-22,Frozen II,2019,https://letterboxd.com/breellis21/film/frozen-ii/,3,NA,I wanna mans like kristoff,"alamo season pass, ho time, sir carthew, what did you learn today?",2019-11-22
2019-11-23,A Beautiful Day in the Neighborhood,2019,https://letterboxd.com/breellis21/film/a-beautiful-day-in-the-neighborhood/,4,NA,This movie brought up a lot of thoughts/feelings that I’ve suppressed for the last few years... thanks for the tears and free therapy session,"alamo season pass, sir carthew",2019-11-22
2019-11-25,The Knight Before Christmas,2019,https://letterboxd.com/breellis21/film/the-knight-before-christmas/,3,NA,Someone plz get Vanessa a job so she doesn’t have to keep doing these movies,ho time,2019-11-24
2019-11-27,Knives Out,2019,https://letterboxd.com/breellis21/film/knives-out-2019/,4.5,NA,"“Maybe he left you a cold glass of milk in the will, asshole!”","alamo season pass, i'm on a true crime kick, bre myself and i",2019-11-26
2019-11-28,Zodiac,2007,https://letterboxd.com/breellis21/film/zodiac/,4,Yes,"“This is too graphic for us, Breanna” -Colleen M Ellis","i'm on a true crime kick, 936",2019-11-27
2019-11-29,The Bounty Hunter,2010,https://letterboxd.com/breellis21/film/the-bounty-hunter/,2.5,Yes,It’s a fun time,936,2019-11-27
2019-11-29,Instant Family,2018,https://letterboxd.com/breellis21/film/instant-family/,3,NA,Wholesome,936,2019-11-28
2019-12-01,Christmas Break-In,2018,https://letterboxd.com/breellis21/film/christmas-break-in/,1,NA,Not great,936,2019-11-30
2019-12-01,Holiday in the Wild,2019,https://letterboxd.com/breellis21/film/holiday-in-the-wild/,2,NA,"Only a white woman still could go to africa on a romantic vacation after her husband left her and end up running an entire elephant nursery with Rob Lowe... but also somehow make it a Christmas movie,,,?",936,2019-11-30
2019-12-01,Clash of the Santas,2008,https://letterboxd.com/breellis21/film/clash-of-the-santas/,1,NA,Longest 92 minutes of my life...,936,2019-11-30
2019-12-03,Never Let Me Go,2010,https://letterboxd.com/breellis21/film/never-let-me-go-2010/,4,NA,I’ve been trying to find this movie since I saw it on HBO like 10 years ago,NA,2019-12-02
2019-12-07,Ford v Ferrari,2019,https://letterboxd.com/breellis21/film/ford-v-ferrari/,3.5,NA,I cried in Cars 3 but not Ford V Ferrari,"alamo season pass, ho time, normz, what did you learn today?",2019-12-07
2019-12-08,Marriage Story,2019,https://letterboxd.com/breellis21/film/marriage-story-2019/,4.5,NA,I want to protect Adam Driver from ever having to cry again 🥺,bre myself and i,2019-12-08
2019-12-12,Dark Waters,2019,https://letterboxd.com/breellis21/film/dark-waters-2019/,4,NA,"<blockquote>
“Fuck you, Hick!”</blockquote>the people in this film reminded me a lot of where I’m from. I’m sick of people assuming that rural Americans are stupid. Also I cried a lot.","alamo season pass, bre myself and i",2019-12-11
2019-12-12,Elf,2003,https://letterboxd.com/breellis21/film/elf/,3.5,Yes,I wish I knew what the conversation was after this movie was pitched,"manu, ho time",2019-12-11
2019-12-20,Star Wars: The Rise of Skywalker,2019,https://letterboxd.com/breellis21/film/star-wars-the-rise-of-skywalker/,4,NA,I saw a tweet that said that Kylo is just an emo with a glow stick... so am I,"bre myself and i, 936, the grandddd babyyyy",2019-12-19
2019-12-21,Spider-Man,2002,https://letterboxd.com/breellis21/film/spider-man/,4,Yes,"<blockquote>“Whatever life holds in store for me, I will never forget these words: “With great power comes great responsibility.” This is my gift, my curse. Who am I? I’m Spider Man.”  -Peter.</blockquote>this movie will always be a fun time",936,2019-12-20
2019-12-21,Spider-Man 2,2004,https://letterboxd.com/breellis21/film/spider-man-2/,4,Yes,"<blockquote>Pizza time</blockquote>Struggling with his dual life and letting go of his true love, Peter Parker carries a weight on his shoulder of being Spider Man... we have no choice but to stan",936,2019-12-20
2019-12-22,Spider-Man 3,2007,https://letterboxd.com/breellis21/film/spider-man-3/,3.5,Yes,"sand man?? more like sad man am I right, ladies?",936,2019-12-21
2019-12-23,Daddy's Home 2,2017,https://letterboxd.com/breellis21/film/daddys-home-2/,2.5,Yes,Beautiful garbage 🤠,936,2019-12-22
2019-12-23,Christmas with the Kranks,2004,https://letterboxd.com/breellis21/film/christmas-with-the-kranks/,2.5,Yes,This movie is a classic in my household... also I think I only ever rank Christmas movies 2.5 stars Oop,936,2019-12-22
2019-12-23,The Wedding Singer,1998,https://letterboxd.com/breellis21/film/the-wedding-singer/,3.5,Yes,My mom wanted to watch it but then she fell asleep. Yeehaw,936,2019-12-22
2019-12-25,Noelle,2019,https://letterboxd.com/breellis21/film/noelle-2019/1/,1.5,Yes,Not as good the second time around,936,2019-12-24
2019-12-26,Baby Driver,2017,https://letterboxd.com/breellis21/film/baby-driver/,5,Yes,this movie is a journey every time I see it. Outstanding soundtrack. I’ve seen it a dozen times but it always feels like the first time,936,2019-12-25
2019-12-26,The Parent Trap,1961,https://letterboxd.com/breellis21/film/the-parent-trap/,3.5,NA,My mother’s favorite movie 🤠,936,2019-12-25
2019-12-27,Holiday Rush,2019,https://letterboxd.com/breellis21/film/holiday-rush/,0.5,NA,If my kids ever talked to me that way... oof,936,2019-12-26
2019-12-27,Mystic River,2003,https://letterboxd.com/breellis21/film/mystic-river/,4,NA,"<blockquote>
Is that my daughter in there?</blockquote>thank you Clint Eastwood for tackling such a heavy movie 🥺","i'm on a true crime kick, 936",2019-12-26
2019-12-28,John Mulaney & The Sack Lunch Bunch,2019,https://letterboxd.com/breellis21/film/john-mulaney-the-sack-lunch-bunch/,5,NA,<blockquote>“YOU ARE IGNORANT“</blockquote>-Jake Gyllenhaal (2019),"bre myself and i, 936",2019-12-25
2019-12-28,Richard Jewell,2019,https://letterboxd.com/breellis21/film/richard-jewell/,3.5,NA,"<blockquote>
“They’re not the government. They’re just 3 assholes who work for the government. There’s not a person in that room who’s a better man than you.“</blockquote>I left the movie thinking “hmmm maybe I support the blue” ... at least some of them Oop 

Also Kathy Bates made me cry like a baby","936, i'm on a true crime kick, uncle alex, im a cry baby",2019-12-27
2019-12-31,Uncut Gems,2019,https://letterboxd.com/breellis21/film/uncut-gems/,3.5,NA,Adam Sandler fighting the weeknd while listening to Kendrick Lamar is the energy I want in 2020. Also wasn’t ready for horny Adam Sandler,"936, is this a date?, the grandddd babyyyy, buy me dinner first, sean-athan",2019-12-30
2020-01-01,Little Women,2019,https://letterboxd.com/breellis21/film/little-women-2019/,5,NA,I’m crying in the bathroom as i write this... this movie is just so overwhelming... every element of it hits so perfectly and is so raw. I relate to Jo a little more than I’m willing to admit but damn... there’s very few things that make me feel this way,"936, im a cry baby, the grandddd babyyyy",2019-12-31
2020-01-09,The Farewell,2019,https://letterboxd.com/breellis21/film/the-farewell-2019/1/,4,Yes,Had to rewatch because i didn’t pat attention the first time.  I miss my grandma ):,"im a cry baby, 936, sean-athan",2020-01-08
2020-01-09,I Know Jake Gyllenhaal Is Going to Fuck My Girlfriend,2016,https://letterboxd.com/breellis21/film/i-know-jake-gyllenhaal-is-going-to-fuck-my-girlfriend/,3,NA,"Wish I had a boyfriend so I could reject his advances in the hopes that Jake Gyllenhaal would fuck me. Also, this whole movie felt like a fever dream","936, bre myself and i",2020-01-09
2020-01-10,The Grand Budapest Hotel,2014,https://letterboxd.com/breellis21/film/the-grand-budapest-hotel/,5,NA,"If Heaven is real, it looks like this film. Perfection. Truly... the colors, the score, the story. Chefs kiss


Also yes this is my first Wes Anderson Film.","936, bre myself and i",2020-01-09
2020-01-10,1917,2019,https://letterboxd.com/breellis21/film/1917/,5,NA,"Can I PLEASE get a hug? 

Please allow me to have ample time to process this film. I feel the same way that I did when I left the theater after Interstellar.","936, sean-athan, is this a date?, buy me dinner first, the grandddd babyyyy",2020-01-09
2020-01-11,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/breellis21/film/three-billboards-outside-ebbing-missouri/,3,NA,"<blockquote>“I hope I get raped on the way there.” “Yeah, well I hope you get raped on the way there too!” </blockquote>what kind of family is this? I really wanted to like this one, and for the most part I did. But, I also felt like there were multiple plot points that didn’t have an impact and really didn’t need to be included... idk maybe I’m just missing something","936, im a cry baby, queen colleen, i'm on a true crime kick",2020-01-10
2020-01-12,Unbelievable,2019,https://letterboxd.com/breellis21/film/unbelievable-2019/,4,NA,"<blockquote>“You know, no one ever accuses a robbery victim of lying or someone who was carjacked. Doesn’t happen. But when it comes to sexual assault...”</blockquote>beautiful, raw, triggering and moving.","936, i'm on a true crime kick, other half, im a cry baby",2020-01-11
2020-01-13,Brittany Runs a Marathon,2019,https://letterboxd.com/breellis21/film/brittany-runs-a-marathon/,1.5,NA,The only thing I really liked about this movie is that Tobey Maguire produced it,"936, queen colleen, im a cry baby",2020-01-12
2020-01-14,The Lighthouse,2019,https://letterboxd.com/breellis21/film/the-lighthouse-2019/,3.5,NA,Basically Brokeback Mountain but make it scary,"bre myself and i, 936",2020-01-13
2020-01-15,Just Mercy,2019,https://letterboxd.com/breellis21/film/just-mercy/,3.5,NA,Whoever says that one person cannot make a difference is full of bullshit.,"936, queen colleen, the grandddd babyyyy",2020-01-14
2020-01-16,Driving Miss Daisy,1989,https://letterboxd.com/breellis21/film/driving-miss-daisy/,2.5,NA,Maybe this one just doesn’t hold up... or maybe it’s just very vanilla and boring?,"936, queen colleen",2020-01-15
2020-01-18,Rain Man,1988,https://letterboxd.com/breellis21/film/rain-man/,3.5,NA,"I love you, Tom Cruise","936, queen colleen",2020-01-17
2020-01-18,Fractured,2019,https://letterboxd.com/breellis21/film/fractured-2019/,2,NA,"If you think you’ve figured out where this movie is going within the first ten minutes, you absolutely have.","936, i'm on a true crime kick, queen colleen, other half",2020-01-17
2020-01-19,School of Rock,2003,https://letterboxd.com/breellis21/film/school-of-rock/,5,Yes,"Linklater's love for American classicism of the 60's and 70's...  I swear this film gets better every time i watch it. Every second of this film is iconic. I would take a bullet for these kids. Sure he isn’t teaching the curriculum, but he’s teaching them LIFE LESSONS","bre myself and i, bee hive",2020-01-18
2020-01-21,Bombshell,2019,https://letterboxd.com/breellis21/film/bombshell-2019/,3.5,NA,"<blockquote>
Damned for doing it, damned for not doing it sooner</blockquote>this movie has just reminded me that I also thrive in toxic environments... also I don’t think I’ve ever been with anybody who didn’t make me feel like they wanted me more than just for my body & I think that’s really sad but maybe that’s just my own insecurity 🥴 

also like should this movie be directed by a man? Hmmm. Much to say about that","alamo season pass, normz",2020-01-20
2020-01-23,Dolemite Is My Name,2019,https://letterboxd.com/breellis21/film/dolemite-is-my-name/,4,NA,"Titties, funny and Kung fu? Baby I’ve got all 3 🤠",uncle alex,2020-01-22
2020-01-25,The Gentlemen,2019,https://letterboxd.com/breellis21/film/the-gentlemen/,3,NA,I counted 18 uses of the word “cunt” but IMDB says there’s 24,"alamo season pass, bre myself and i",2020-01-24
2020-01-25,Shrek,2001,https://letterboxd.com/breellis21/film/shrek/,4.5,Yes,"Times I’ve seen Casablanca: 0
Times I’ve seen Citizen Kane: 0
Times I’ve seen The Godfather: 0
Times I’ve seen Fight Club: 0
Times I’ve seen Shrek (2001): 300000",mmmmmaddie,2020-01-24
2020-01-26,Midsommar,2019,https://letterboxd.com/breellis21/film/midsommar/2/,4,Yes,"Honestly, I’d still visit Sweden","ho time, tiny dancer",2020-01-25
2020-02-01,Miss Americana,2020,https://letterboxd.com/breellis21/film/miss-americana/,4.5,NA,Shoutout to Elias for reminding me that I am in fact a swifty,"alamo season pass, im a cry baby, ho time",2020-01-31
2020-02-02,High School Musical 2,2007,https://letterboxd.com/breellis21/film/high-school-musical-2/,2.5,Yes,"Gabriela: I’ve got to go my own way
Troy: Have Fun!","bee hive, tiny dancer",2020-02-01
2020-02-02,Hairspray,2007,https://letterboxd.com/breellis21/film/hairspray-2007/,4,Yes,I hope I dream about Seaweed J. Stubbs tonight,tiny dancer,2020-02-01
2020-02-07,End of Watch,2012,https://letterboxd.com/breellis21/film/end-of-watch/,2,NA,My least favorite Gyllenhaal film...,"bre myself and i, bee hive",2020-02-07
2020-02-09,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://letterboxd.com/breellis21/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/,4,NA,"<blockquote>This is a man's world But it wouldn't be nothing, nothing without a woman or a girl</blockquote>I loved every second of this chaotic and glittery mess of a film. (Also Gotham men are scum. thank u)","alamo season pass, normz, what did you learn today?",2020-02-08
2020-02-12,Her,2013,https://letterboxd.com/breellis21/film/her/,4.5,NA,<blockquote>''Falling in love is a crazy thing to do. It's like a socially acceptable form of insanity.''</blockquote>currently lonely for some lonesome love,"bre myself and i, bee hive, im a cry baby",2020-02-11
2020-02-16,Downhill,2020,https://letterboxd.com/breellis21/film/downhill-2020/,1.5,NA,Somehow managed to make 86 minutes feel like 120 minutes. Also a reminder that marriage seems really hard. 🥴,"alamo season pass, bre myself and i, im a cry baby",2020-02-15
2020-02-16,To All the Boys: P.S. I Still Love You,2020,https://letterboxd.com/breellis21/film/to-all-the-boys-ps-i-still-love-you/,2.5,NA,Why do I hate love but also want to be IN IT? (It’s because I’m a libra),"bee hive, bre myself and i",2020-02-15
2020-02-16,21,2008,https://letterboxd.com/breellis21/film/21/,2,NA,"Kevin spacey manipulating young boys in 21.
Kevin Spacey manipulating young boys in Baby Driver.
Kevin Spacey manipulating young boys in real life.","bee hive, bre myself and i",2020-02-15
2020-02-17,Hachi: A Dog's Tale,2009,https://letterboxd.com/breellis21/film/hachi-a-dogs-tale/,4,Yes,I think I cry harder every time i see this film... this time in particular because I miss my puppy 😔🤘🏻 Sad girl hrs,"bre myself and i, bee hive, im a cry baby",2020-02-16
2020-02-18,Wildlife,2018,https://letterboxd.com/breellis21/film/wildlife-2018/,4,NA,"<blockquote>
i feel like i need to wake up. but i don’t know what from – or to ...</blockquote>If I was married to Jake Gyllenhaal in the 1960s in Montana I would simply support his dreams... also seeing jake play catch with his son in the first five mins....... maternal instinct","bre myself and i, bee hive, im a cry baby",2020-02-17
2020-02-20,Scott Pilgrim vs. the World,2010,https://letterboxd.com/breellis21/film/scott-pilgrim-vs-the-world/,4.5,Yes,"<blockquote>“Yeah, I think garlic bread would have to be my favorite all-time food. I could eat it for every meal. Or just constantly, without stopping.”</blockquote>Scotty is really doing the most for this girl he just met. But I stan","bee hive, bre myself and i",2020-02-18
2020-02-21,No Country for Old Men,2007,https://letterboxd.com/breellis21/film/no-country-for-old-men/1/,5,Yes,<blockquote>“What’s the most you ever lost on a coin toss?”</blockquote>All I can say is *chef’s kiss*,"bee hive, bre myself and i",2020-02-19
2020-02-22,Portrait of a Lady on Fire,2019,https://letterboxd.com/breellis21/film/portrait-of-a-lady-on-fire/,5,NA,"<blockquote>""When do we know it’s finished?""""At some point, we stop.""</blockquote>this film was so beautiful... it’s going to be living rent free in my mind.","alamo season pass, sir carthew, what did you learn today?",2020-02-21
2020-02-23,Spartacus,1960,https://letterboxd.com/breellis21/film/spartacus/,3.5,NA,I am Spartacus too!,sir carthew,2020-02-22
2020-02-24,La La Land,2016,https://letterboxd.com/breellis21/film/la-la-land/,5,Yes,"<blockquote>Mia: It’s pretty strange that we keep running into each other.</blockquote><blockquote>Sebastian: Maybe it means something.</blockquote><blockquote>Mia: I doubt it.</blockquote><blockquote>Sebastian: Yeah, I don’t think so.</blockquote>

It gets better every time I see it, but yet, I wish I could watch this for the first time again 🥺😌","bre myself and i, bee hive, im a cry baby",2020-02-23
2020-02-29,Animal House,1978,https://letterboxd.com/breellis21/film/animal-house/,3.5,NA,"You’re all invited to my next toga party... just don’t be misogynistic, racist, anarchist, or stupid.","tiny dancer, northern italian twin, ho time",2020-02-28
2020-03-01,The Invisible Man,2020,https://letterboxd.com/breellis21/film/the-invisible-man-2020/,4,NA,Why did I hide my eyes behind my jacket... the villain is literally INVISIBLE,"alamo season pass, uncle alex",2020-02-29
2020-03-06,Onward,2020,https://letterboxd.com/breellis21/film/onward-2020/,3.5,NA,I too am on a quest to meet my father,"alamo season pass, im a cry baby, what did you learn today?, sir carthew",2020-03-05
2020-03-08,High School Musical,2006,https://letterboxd.com/breellis21/film/high-school-musical/,4,Yes,"Troy Bolton: we’re soarin’, flyin’... 
me 30 seconds later: THERES NOT A STAR IN HEAVEN THAT WE CANT REACH...","ho time, tiny dancer",2020-03-08
2020-03-16,Deep Impact,1998,https://letterboxd.com/breellis21/film/deep-impact/,2,NA,The first movie of my self quarantine,"936, other half, queen colleen, quarantine!",2020-03-15
2020-03-18,Drive,2011,https://letterboxd.com/breellis21/film/drive-2011/,4,NA,".... the elevator scene is perfect. I mean... the music, the silence, THE KISS... why did it take me so long to WATCH","936, bre myself and i, quarantine!",2020-03-17
2020-03-18,All the Bright Places,2020,https://letterboxd.com/breellis21/film/all-the-bright-places/,2,NA,I thought we were past the whole “boy fixes girl” trope... big 2014 energy,"bre myself and i, 936, quarantine!",2020-03-17
2020-03-21,Paddington 2,2017,https://letterboxd.com/breellis21/film/paddington-2/,5,Yes,I would die for him,"936, bre myself and i, quarantine!, ho time",2020-03-21
2020-03-22,Charlie Bartlett,2007,https://letterboxd.com/breellis21/film/charlie-bartlett/,3,NA,"<blockquote>“I’ve been taking care of her ever since”</blockquote><blockquote>
“So who takes care of you?”</blockquote>🥺💕🥺","936, queen colleen, quarantine!",2020-03-21
2020-03-25,The Stanford Prison Experiment,2015,https://letterboxd.com/breellis21/film/the-stanford-prison-experiment/,3,Yes,Ezra Miller AND the guy from Sky High can like... get it 🥴,"936, bre myself and i, quarantine!, i'm on a true crime kick",2020-03-24
2020-03-25,Hook,1991,https://letterboxd.com/breellis21/film/hook/,3,Yes,"The rumors are true, I miss Robin Williams","936, quarantine!, sir carthew, what did you learn today?",2020-03-24
2020-03-25,About Time,2013,https://letterboxd.com/breellis21/film/about-time/,5,NA,I’m SOBBING??? This movie made me FEEL love... gah!,"936, im a cry baby, sir carthew, what did you learn today?, quarantine!",2020-03-24
2020-03-25,GoodFellas,1990,https://letterboxd.com/breellis21/film/goodfellas/,4,NA,I’ve decided to give mob films a chance,"936, what did you learn today?, sir carthew, quarantine!",2020-03-25
2020-03-26,Star Wars,1977,https://letterboxd.com/breellis21/film/star-wars/,4,Yes,"Have I been sorta hiding the fact that I haven’t REALLY seen all of the Star Wars? I mean, properly of course.","936, bre myself and i, quarantine!",2020-03-25
2020-03-27,The Empire Strikes Back,1980,https://letterboxd.com/breellis21/film/the-empire-strikes-back/,5,Yes,"<blockquote>The force is with you, young Skywalker, but you are not a Jedi yet.</blockquote>Is this the best one? Because it FEELS like the best one","936, bee hive, bre myself and i, quarantine!",2020-03-27
2020-03-28,Return of the Jedi,1983,https://letterboxd.com/breellis21/film/return-of-the-jedi/,4.5,Yes,the ewoks are cute you guys are just bullies,"936, bee hive, bre myself and i, quarantine!",2020-03-27
2020-03-29,Outbreak,1995,https://letterboxd.com/breellis21/film/outbreak/,3,NA,"it’s no contagion, but theres lots of big names in here","936, other half, quarantine!, queen colleen",2020-03-28
2020-03-29,"Tiger King: Murder, Mayhem and Madness",2020,https://letterboxd.com/breellis21/film/tiger-king-murder-mayhem-and-madness/,4,NA,Carole fed her husband to the tigers!!! Lathered them with sardine oil,"936, quarantine!, queen colleen",2020-03-28
2020-03-29,Star Wars: Episode I - The Phantom Menace,1999,https://letterboxd.com/breellis21/film/star-wars-episode-i-the-phantom-menace/,3.5,Yes,Jar Jar Binks sounds like Elmo but tbh I’d still be his friend,"936, bre myself and i, bee hive, quarantine!",2020-03-29
2020-03-30,A Good Marriage,2014,https://letterboxd.com/breellis21/film/a-good-marriage-2014/,2.5,NA,"If I found out my husband was a serial killer, I would simply call the police","936, queen colleen, quarantine!",2020-03-29
2020-03-30,Star Wars: Episode II - Attack of the Clones,2002,https://letterboxd.com/breellis21/film/star-wars-episode-ii-attack-of-the-clones/,2,NA,"Lines in this movie that could also be said during quarantine:

<blockquote><b>Anakin Skywalker: </b>You love me? I thought that we had decided not to fall in love… that we would be forced to live a lie… and that it would destroy our lives.</blockquote><blockquote><b>Padmé Amidala: </b>I think our lives are about to be destroyed anyway...</blockquote>","936, bee hive, bre myself and i, quarantine!",2020-03-30
2020-03-31,Star Wars: Episode III - Revenge of the Sith,2005,https://letterboxd.com/breellis21/film/star-wars-episode-iii-revenge-of-the-sith/,5,NA,WHERE 🥺 IS 🥺 PADME?? 🥺 IS 🥺 SHE 🥺 SAFE!? 🥺 IS 🥺 SHE 🥺 ALRIGHT!? 🥺,"936, bee hive, bre myself and i, quarantine!",2020-03-31
2020-04-01,Solo: A Star Wars Story,2018,https://letterboxd.com/breellis21/film/solo-a-star-wars-story/,4,NA,"<blockquote>You might want to buckle up, Baby</blockquote>Does Woody Harrelson exclusively play really cool characters,,, like is that his job?

Also, Donald Glover is phenomenal at everything he does. That’s it, that’s the review","936, bee hive, bre myself and i, quarantine!",2020-03-31
2020-04-02,Rogue One: A Star Wars Story,2016,https://letterboxd.com/breellis21/film/rogue-one-a-star-wars-story/,2,Yes,"Me when I watched this in 2016: who are these people?

Me when I rewatched this in 2020: who are these people?","936, bee hive, bre myself and i, quarantine!",2020-04-02
2020-04-03,Parasite,2019,https://letterboxd.com/breellis21/film/parasite-2019/1/,5,Yes,"After a second watch, I’m giving this the 5 stars it deserves...

Elias I hope you’re happy","936, bee hive, ho time, quarantine!, im a cry baby",2020-04-02
2020-04-03,Monsters vs Aliens,2009,https://letterboxd.com/breellis21/film/monsters-vs-aliens/,3.5,Yes,the president playing crazy frog on a keyboard in front of a giant alien... I’d vote for him,"936, ho time, quarantine!",2020-04-02
2020-04-03,Monster House,2006,https://letterboxd.com/breellis21/film/monster-house/,4,Yes,<blockquote>“You can’t call dibs on a girl through a telescope” </blockquote>i came here for a nostalgic time not to cry over steve buscemi’s literal house-wife...,"936, bee hive, ho time, quarantine!",2020-04-03
2020-04-04,Dolphin Reef,2018,https://letterboxd.com/breellis21/film/dolphin-reef/,3,NA,"I like a good nature doc as much as the next girl &
Disney nature never fails to deliver stunningly beautiful documentaries... 🐬","936, quarantine!, other half, queen colleen",2020-04-03
2020-04-05,Star Wars: The Force Awakens,2015,https://letterboxd.com/breellis21/film/star-wars-the-force-awakens/,4,Yes,When I said I would DIE FOR POE DAMERON... I meant it (also bb8 he’s so cute I love him),"936, bee hive, bre myself and i, quarantine!",2020-04-04
2020-04-05,Onward,2020,https://letterboxd.com/breellis21/film/onward-2020/1/,3.5,Yes,My mom said this was better than CoCo... much to think about,"936, quarantine!, queen colleen, other half",2020-04-04
2020-04-05,Star Wars: The Last Jedi,2017,https://letterboxd.com/breellis21/film/star-wars-the-last-jedi/,4.5,Yes,"I’d like to thank Rian, Laura, Adam, Oscar, daisy, Mark, John, Carrie, BB8, porgs and most importantly the color red. 

*chefs kiss*","936, bee hive, bre myself and i, im a cry baby, quarantine!",2020-04-05
2020-04-06,The Social Network,2010,https://letterboxd.com/breellis21/film/the-social-network/,5,Yes,"I wish i wasn’t so attracted to Jesse Eisenberg. I do not understand... also like, imagine breaking a someone’s heart so bad that he turns around and invents facebook...","936, im a cry baby, queen colleen, quarantine!, other half",2020-04-05
2020-04-06,The Space Between Us,2017,https://letterboxd.com/breellis21/film/the-space-between-us/,2,Yes,"It’s kind of like The Fault in Our Stars but instead of the protagonist having cancer, he’s from mars and has daddy issues.","936, other half, quarantine!, queen colleen",2020-04-04
2020-04-10,Parasite,2019,https://letterboxd.com/breellis21/film/parasite-2019/2/,5,Yes,My mom said it was “good”,"936, queen colleen, quarantine!",2020-04-09
2020-04-11,The Irishman,2019,https://letterboxd.com/breellis21/film/the-irishman-2019/,4,NA,"<blockquote>
“If I said it once, I said it a thousand times. I don’t care they’re Irish. I don’t care they’re Catholic. If there’s one person you can’t trust in this life, it’s millionaires’ kids.”</blockquote>I had this rule where I can only watch one organized crime movie a year... but this is my second 🥴","936, queen colleen, quarantine!",2020-04-10
2020-04-11,"Where'd You Go, Bernadette",2019,https://letterboxd.com/breellis21/film/whered-you-go-bernadette/,3,NA,Brb planning my post-quarantine trip to Antarctica,"936, quarantine!, queen colleen",2020-04-10
2020-04-11,The Perks of Being a Wallflower,2012,https://letterboxd.com/breellis21/film/the-perks-of-being-a-wallflower/,3.5,Yes,I wish Paul Rudd was my English teacher ≧◡≦,"936, bee hive, quarantine!, sir carthew, im a cry baby",2020-04-10
2020-04-11,The Matrix,1999,https://letterboxd.com/breellis21/film/the-matrix/,4,NA,Kinda weird how this movie invented the color green,"936, bee hive, quarantine!, sir carthew",2020-04-11
